ID,iso3,country,admin,admin_name,latitude,longitude,livestock_sum,travel_mean,num_f_childbearing,num_elderly,num_under5,totalpop,pct_f_childbearing,pct_elderly,pct_under5,gdppc,hdi,num_rural,pct_rural,aggdp_2010
GBR.1.1_1,GBR,United Kingdom,admin2,Barnsley,53.526238401104465,-1.5335604398156573,0.05224617345755694,2.997076023391813,42904.46138381958,46796.556091308594,11325.894975662231,193412.86735534668,22.182837145469545,24.195161744503736,5.855812558144747,31657.900390625,0.8838732242584229,0,0,19035970
GBR.1.2_1,GBR,United Kingdom,admin2,Bath and North East Somerset,51.35527113461159,-2.4699585008328206,0.2365318889124472,4.931506849315069,49238.47532272339,53937.854862213135,13054.261791706083,222928.26042175293,22.08713925707321,24.19516249764356,5.855812882139314,35399.29296875,0.9229310154914856,3038.181686401367,1.3628517446166313,27229260
GBR.1.3_1,GBR,United Kingdom,admin2,Bedfordshire,52.19593243320624,-0.4891568367051916,0.10827950389955827,7.939226519337017,43769.20471191406,47383.43443870544,11467.933940887451,195838.46855163577,22.34964613215082,24.19516185412372,5.855812714274652,35687.0859375,0.9251638650894164,23032.5496673584,11.760993556424548,35500110
GBR.1.4_1,GBR,United Kingdom,admin2,Birmingham,52.48450048193129,-1.8642054210596777,0.02705473440406327,0.11614173228346455,248915.27709960935,270078.955078125,65365.618896484375,1116251.8432617188,22.299204126935372,24.195163189065543,5.855812851827794,32896.2578125,0.8798869252204895,0,0,4801497
GBR.1.5_1,GBR,United Kingdom,admin2,Blackburn with Darwen,53.695140449491944,-2.469855830543155,0.07229777191152773,2.349809885931559,19258.19396972656,20926.806640625,5064.7918701171875,86491.69921875,22.265944759646597,24.19516188218026,5.855812657013012,32952.99609375,0.8896194100379944,0,0,2056490
GBR.1.6_1,GBR,United Kingdom,admin2,Blackpool,53.82125866974812,-3.031353855787851,0.12850436270086207,0.05084745762711865,68997.56774902344,74975.81481933594,18145.955657958984,308976.123046875,22.331035508059554,24.265892807503867,5.872931370559675,32952.99609375,0.8896194100379944,0,0,1633403
GBR.1.7_1,GBR,United Kingdom,admin2,Bolton,53.57859181539692,-2.4770282211175636,0.04295182112073559,0.7546468401486989,75332.0327758789,82212.26043701172,19897.350311279297,339788.0187988281,22.17030283827615,24.195161656269455,5.85581280399988,32952.99609375,0.8864206671714783,0,0,7018630
GBR.1.8_1,GBR,United Kingdom,admin2,Bournemouth,50.747160578573414,-1.865146250663999,0.03284587945167459,0.41,162608.56475830078,178010.83374023438,43082.91473388672,711801.98974609375,22.844634758088375,25.00847655732635,6.052654439650384,41382.9375,0.9175650676091512,83065.264892578125,11.669715186130382,11038051
GBR.1.9_1,GBR,United Kingdom,admin2,Bracknell Forest,51.40883716539617,-0.7412734459793066,0.02200581292310536,1.3737373737373737,20669.756317138672,22452.259826660156,5433.988380432129,92796.4874267578,22.274287411420445,24.195161314032735,5.855812575579495,53350.2265625,0.941441774368286,0,0,4138580
GBR.1.10_1,GBR,United Kingdom,admin2,Bradford,53.84385654830028,-1.8482595963370432,0.12080164542897838,2.8455172413793104,130015.73905944824,140727.60982513428,34059.47594642639,581635.334777832,22.353480142177144,24.195161712258795,5.855812724898519,31657.900390625,0.8904269933700562,0,0,21952890
GBR.1.11_1,GBR,United Kingdom,admin2,Brighton and Hove,50.84495127085814,-0.13796339422007753,0.01510304992382179,0.8518518518518519,39348.92120361328,42478.71398925781,10280.873489379885,175566.97998046875,22.41248394657738,24.195161296266203,5.855812687854856,53350.2265625,0.9404796957969666,0,0,1842320
GBR.1.12_1,GBR,United Kingdom,admin2,Bristol,51.46956155468726,-2.5946932589746257,0.02559821980802676,0.08018867924528301,53119.921875,58190.179443359375,14083.42742919922,240503.369140625,22.0869761886538,24.19516186042904,5.855812947453756,35399.29296875,0.9229310154914856,0,0,1381690
GBR.1.13_1,GBR,United Kingdom,admin2,Buckinghamshire,51.78436447541494,-0.8089872799050567,1.6913885352104718,6.909217391304348,159342.33202934265,173542.24877357483,42001.40959024429,717260.1137161255,22.215417947024804,24.195162320465897,5.855812805850159,53350.2265625,0.941441774368286,162128.50818634033,22.603865053411702,121480460
GBR.1.14_1,GBR,United Kingdom,admin2,Bury,53.590770650201904,-2.321358948049388,0.05439747951161372,0.5096153846153846,57324.87030029297,62555.78308105469,15140.007972717283,258546.6552734375,22.17196360156603,24.195162383708286,5.855812737823004,32952.99609375,0.8864206671714783,0,0,7924630
GBR.1.15_1,GBR,United Kingdom,admin2,Calderdale,53.71886276263624,-1.969035172399753,0.12198998176221852,5.5256410256410255,50091.34383201599,54215.51122665405,13121.461415290833,224075.83179473877,22.354639244584572,24.19516232179709,5.855812878253888,31842.9140625,0.8898546610559736,11312.246894836426,5.048401161442005,31157210
GBR.1.16_1,GBR,United Kingdom,admin2,Cambridgeshire,52.46376760555221,0.1764449005846807,6.424155246942312,19.244515906741704,202559.5575869083,222711.7672324181,53901.618196070194,920336.5994691848,22.009290699048258,24.198947141825037,5.8567287476297905,35687.0859375,0.911835761480434,370880.8736085892,40.29839450289157,550508230
GBR.1.17_1,GBR,United Kingdom,admin2,Central Bedfordshire,52.01614569119561,-0.4316353177920342,0.1397150342799483,6.119708994708994,90826.13897323608,98030.06687164308,23725.639843940735,405163.907623291,22.41713471123974,24.195162754424913,5.855812770470194,35687.0859375,0.9251638650894164,51961.09161376953,12.82470887364463,45057610
